Bankrupt?,Cash/Current Liability,Net Income to Stockholder's Equity,Net Income to Total Assets,Non-industry income and expenditure/revenue,Retained Earnings to Total Assets,Realized Sales Gross Profit Growth Rate,ROA(A) before interest and % after tax,Long-term fund suitability ratio (A),Total expense/Assets,Working capitcal Turnover Rate,Interest Expense Ratio,Cash Flow to Equity,Net Worth Turnover Rate (times),Contingent liabilities/Net worth,Liability-Assets Flag,Borrowing dependency,Pre-tax net Interest Rate,Interest Coverage Ratio (Interest expense to EBIT),Total Asset Turnover,Inventory and accounts receivable/Net value
0.0,6.748264705818653e-13,0.8414881520921801,0.8161306459394381,0.30350301483137,0.939776016306687,0.022013986629752996,0.5658525948539029,0.0119737083198357,0.0450246691086096,0.5939253039061689,0.631140326844838,0.30678295857046506,0.0754838709677419,0.00597823437652335,0,0.370114721427565,0.7974225234601221,0.565720123439102,0.385307346326837,0.39991532951155
0.0,8.001665189511523e-13,0.8406061645533102,0.8013552145243029,0.303534677388753,0.933973385536489,0.0220876447191425,0.544755778456171,0.0061756744366905795,0.0303010853142029,0.594000878700761,0.631715318968233,0.321281303251529,0.0351612903225806,0.00649129862532904,0,0.37864669423798303,0.797424736907562,0.566348238447928,0.124437781109445,0.40641700483506
0.0,1.54679790386942e-14,0.8409553442614859,0.804583581070712,0.30352815151814694,0.934229831763818,0.0223986016436042,0.548680767553423,0.00512017187038942,0.0151819655578954,0.593935981135968,0.631134505006781,0.313196460549218,0.0408064516129032,0.00558338208053037,0,0.37450093159435704,0.7974317922712779,0.565814886906265,0.134932533733133,0.41124402651043696
1.0,1.4275111738400312e-13,0.8412658916547242,0.8061954433049909,0.30344234840463,0.938769319377381,0.0220516453353988,0.559965111208024,0.00497448270543917,0.011470336357365,0.59389726509929,0.631659840276161,0.311044504085548,0.0237096774193548,0.00536584771375646,0,0.38346459158590207,0.797460290407071,0.56717407125033,0.0584707646176912,0.406064657707493
1.0,5.076875937607317e-13,0.831801642933282,0.7147744787193059,0.30338917464414095,0.842346725909992,0.0216928209248267,0.43420191888355897,0.0051663897348955,0.0524903262665058,0.593948333657931,0.630337255654032,0.325048012797343,0.0258064516129032,0.00536584771375646,0,0.37787390708213003,0.7967573825043299,0.5647454994437591,0.0629685157421289,0.402143288725026
0.0,4.093080557379503e-13,0.8408831800109542,0.8091476190321121,0.303812389437854,0.9356769787130809,0.0220347360550627,0.5566397732228521,0.00638468374452911,0.00477346547268956,0.593957440555679,0.6311053958164959,0.31509420568758,0.0185483870967742,0.0055358535634201,0,0.37250577633235904,0.79754606149538,0.5657645824586539,0.0629685157421289,0.39665176448206996
0.0,3.587812243057524e-13,0.8422324730221641,0.825832648225917,0.30350011444443503,0.9419314835347359,0.0220850688194277,0.5843872655909289,0.00507356468572506,0.0279879804068512,0.5939487095842281,0.630834166655251,0.31478360677335304,0.03,0.00536584771375646,0,0.374309691936397,0.797570547757688,0.565427749163121,0.122938530734633,0.400278394422466
1.0,1.6036239301808914e-14,0.838872360386222,0.7867855304291109,0.303345668840104,0.898281040011788,0.0224105961704968,0.5298735281290889,0.005851203893335061,0.0201664157645467,0.594130931221701,0.525126368131943,0.314393281681232,0.0185483870967742,0.00585149166422931,0,0.38624595433062797,0.7972025621207479,0.589450045974936,0.0314842578710645,0.422070327414884
1.0,1.355388342088653e-13,0.8360780338657691,0.7678185772294951,0.303490446487982,0.9255273905536109,0.0218961431685694,0.49111426079371995,0.00490860417293924,0.012208591331847,0.593854155144844,0.630017739483021,0.311827919105258,0.0440322580645161,0.00536584771375646,0,0.38968714981334607,0.7972331353635171,0.5642440465876291,0.112443778110945,0.399604513794457
1.0,1.3054132065120726e-13,0.8357747023977409,0.76359137755962,0.303257448737474,0.9174956758966121,0.0220728846557463,0.485226777147841,0.00491850402839301,0.0344450307177575,0.593865111912222,0.630008835495404,0.315060948384062,0.0416129032258065,0.00536584771375646,0,0.37950671351851895,0.7972401907272321,0.564020185754438,0.112443778110945,0.403154779528498
1.0,7.675132510613897e-14,0.7653767826648459,0.6536098475519921,0.303509782400887,0.816213466178897,0.0222080008677779,0.289631487134758,0.00532801321775308,0.0726291300972156,0.593868967068393,0.6305290338488511,0.266153376892341,0.0533870967741935,0.00536584771375646,0,0.43184039652592493,0.7967161570457559,0.565027767016031,0.133433283358321,0.44336924237329206
0.0,1.56141840988314e-12,0.840700542020706,0.8058948485840279,0.303539511366979,0.943596343434925,0.0220651727596677,0.5454644570431749,0.022793193604660002,0.0497576487119253,0.5939966197941801,0.630612594348023,0.32643275337852695,0.0409677419354839,0.00536584771375646,0,0.36963718146295005,0.797420586693612,0.565158733821779,0.17841079460269899,0.4031467411909871
1.0,7.473036872196206e-14,0.8294126686401309,0.7459550824462341,0.303334792389095,0.8837648475761379,0.022194773701758,0.462276493676406,0.0049661679392013205,0.0136186331469915,0.593627619252324,0.630208490294653,0.305637005585846,0.0225806451612903,0.0103277030320757,0,0.40314102750496,0.7964606422068741,0.564548915944586,0.0314842578710645,0.396504394961034
