Bankrupt?,Debt ratio %,Net worth/Assets,Current Liability to Assets,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,ROA(C) before interest and depreciation before interest,Cash/Total Assets,Working Capital to Total Assets,Net Income to Total Assets,Total Asset Turnover,Fixed Assets Turnover Frequency,Tax rate (A),Persistent EPS in the Last Four Seasons,Current Liability to Current Assets,CFO to Assets,Cash/Current Liability,Per Share Net profit before tax (Yuan ¥),Net profit before tax/Paid-in capital,Retained Earnings to Total Assets,Net Value Per Share (A)
0.0,0.10448347794539999,0.8955165220546,0.11021103786688902,0.5658525948539029,0.551260774131378,0.508360551845171,0.135541161697204,0.7944283272030981,0.8161306459394381,0.385307346326837,8.744780777966825e-13,0.283935621014273,0.23352557435945898,0.0333861349302469,0.651022001214035,6.748264705818653e-13,0.19047977705807,0.18901289495513196,0.939776016306687,0.207239475791159
0.0,0.165281010974393,0.8347189890256071,0.0856389251535494,0.544755778456171,0.5353070292842229,0.484765758299615,0.12503833995462701,0.838929348256779,0.8013552145243029,0.124437781109445,3.877145616833233e-14,0.275331511286567,0.21858750118181,0.0223261482429868,0.551373419032197,8.001665189511523e-13,0.17443699630940698,0.173448457884021,0.933973385536489,0.172938350680544
0.0,0.166943797805121,0.8330562021948791,0.16218651393269398,0.548680767553423,0.539054553241608,0.48671574123726397,0.0045656334354207,0.7758967173000508,0.804583581070712,0.134932533733133,2.037015958844024e-14,0.13159226642372698,0.220762030821594,0.0411261408649208,0.55376586562195,1.54679790386942e-14,0.175717406040521,0.174692707940578,0.934229831763818,0.17087354093801402
1.0,0.181878646793845,0.818121353206155,0.136274420895551,0.559965111208024,0.5640558916430221,0.497879393555306,0.0354233094568696,0.743139371674065,0.8061954433049909,0.0584707646176912,0.5835835835835835,0.0,0.22615108253758198,0.0514972983306447,0.532823848707346,1.4275111738400312e-13,0.176169315357385,0.17446648065756698,0.938769319377381,0.194007837849227
1.0,0.161199625117151,0.8388003748828492,0.123139451528654,0.43420191888355897,0.411638738690508,0.375030468483401,0.11388089830143198,0.777716877765297,0.7147744787193059,0.0629685157421289,1.4312119562138237e-14,0.0,0.18634773565283203,0.0387380624209117,0.5185745102603571,5.076875937607317e-13,0.150410484296151,0.15059950229997698,0.842346725909992,0.14360962454173903
0.0,0.0806300450464068,0.919369954953593,0.043296457244227995,0.5566397732228521,0.553295144279672,0.507483059523229,0.0325120702131809,0.7753624821965341,0.8091476190321121,0.0629685157421289,2.233902259698829e-14,0.154772750278368,0.22293656046137802,0.0294262199456899,0.60927328100764,4.093080557379503e-13,0.179182044136477,0.178063494457432,0.9356769787130809,0.200623656820193
0.0,0.10874625872963099,0.891253741270369,0.06888829668766701,0.5843872655909289,0.58530970608705,0.539755277141325,0.0451598343924818,0.7904572708346329,0.825832648225917,0.122938530734633,1.0298668044713312e-14,0.17319566757769,0.23759099933818698,0.0292706113045549,0.598015129962058,3.587812243057524e-13,0.188446185132184,0.18748963124952897,0.9419314835347359,0.18296742657283702
1.0,0.189104211385555,0.8108957886144449,0.170920124292109,0.5298735281290889,0.497028748862359,0.450641056890752,0.00498750359271194,0.819314212273159,0.7867855304291109,0.0314842578710645,1.5523727567398696e-14,0.0,0.20459487567363102,0.0332694307623759,0.586585322145631,1.6036239301808914e-14,0.166227310386383,0.165251489329613,0.898281040011788,0.15132105684547598
1.0,0.19941348973607,0.8005865102639301,0.134466701750073,0.49111426079371995,0.528347341934793,0.47599083508019296,0.0331890008690399,0.6810238232456041,0.7678185772294951,0.112443778110945,0.7567567567567568,0.0,0.19239860073744897,0.114762641957161,0.6045239010250429,1.355388342088653e-13,0.152895985538902,0.151866375084835,0.9255273905536109,0.161729383506805
1.0,0.192671644949663,0.8073283550503371,0.163919557596654,0.485226777147841,0.510091546656673,0.4670209135670061,0.0389419808877889,0.6933193013073771,0.76359137755962,0.112443778110945,0.9159159159159159,0.0,0.20194762219911103,0.0794743904976791,0.5854640907261479,1.3054132065120726e-13,0.15703848761015302,0.156247643465802,0.9174956758966121,0.15604062197126098
1.0,0.27145750823835296,0.728542491761647,0.20422784824433698,0.289631487134758,0.301354462230312,0.280310047287086,0.0285095842148883,0.6934686004902281,0.6536098475519921,0.133433283358321,4.217910368312713e-14,0.0,0.17897324383095398,0.0704820811259661,0.43337169068435205,7.675132510613897e-14,0.143255253445809,0.142251715556896,0.816213466178897,0.128439593780287
0.0,0.0888835142243855,0.911116485775615,0.0944658049478526,0.5454644570431749,0.5303281760265539,0.48174328474625794,0.269004973114156,0.910790845358119,0.8058948485840279,0.17841079460269899,7.244658616453813e-13,0.22836319465532898,0.21962749361822798,0.0165267414232211,0.65877557164426,1.56141840988314e-12,0.175717406040521,0.17477565794434802,0.943596343434925,0.181534701445367
1.0,0.23263899386280498,0.7673610061371949,0.132788714434128,0.462276493676406,0.531452433213769,0.5059718227465511,0.0180714663455149,0.654064394963932,0.7459550824462341,0.0314842578710645,0.24224224224224225,0.0,0.19126406353408298,0.257160080720448,0.585529191632714,7.473036872196206e-14,0.150937711832492,0.15115752959807002,0.8837648475761379,0.13926931018498998
0.0,0.103546270822626,0.8964537291773741,0.0612140833545074,0.51035761011775,0.525991755447294,0.47360210598157304,0.10323231882394901,0.8253254943987129,0.7812655787045171,0.0674662668665667,0.7347347347347347,0.0,0.208849390186253,0.0203245330996169,0.545508191303835,9.221726631595077e-13,0.164118400241018,0.163517080159867,0.926510962246208,0.16931439888753103
0.0,0.0867672400761859,0.9132327599238141,0.0567997207952373,0.563835586567815,0.555008298088763,0.506508068054405,0.0303400280857976,0.8559242935672979,0.81302246603021,0.09595202398800601,1.4009217560823223e-14,0.226136248608159,0.226623806372317,0.015586977562718998,0.588480799363891,2.919149459788912e-13,0.181667545379227,0.180687730940351,0.9482910568088231,0.19211158400404502
