Bankrupt?,Liability to Equity,Net worth/Assets,Persistent EPS in the Last Four Seasons,Debt ratio %,Borrowing dependency,Equity to Liability,Continuous interest rate (after tax),Per Share Net profit before tax (Yuan ¥),Net profit before tax/Paid-in capital,Retained Earnings to Total Assets,Current Liabilities/Equity,Non-industry income and expenditure/revenue,Net Income to Total Assets,Current Liability to Equity,Interest Expense Ratio,After-tax net Interest Rate,Degree of Financial Leverage (DFL),Net Value Per Share (B),Total income/Total expense,Net Value Per Share (A)
0.0,0.27840490941928697,0.8955165220546,0.23352557435945898,0.10448347794539999,0.370114721427565,0.03622877160315,0.7815972026315291,0.19047977705807,0.18901289495513196,0.939776016306687,0.330679403291523,0.30350301483137,0.8161306459394381,0.330679403291523,0.631140326844838,0.8093356185571841,0.0269237442821857,0.207239475791159,0.0023065096509609397,0.207239475791159
0.0,0.283142078217402,0.8347189890256071,0.21858750118181,0.165281010974393,0.37864669423798303,0.0216730746468311,0.7815974833339929,0.17443699630940698,0.173448457884021,0.933973385536489,0.331287224695729,0.303534677388753,0.8013552145243029,0.331287224695729,0.631715318968233,0.8093374413200551,0.0271178324424928,0.172938350680544,0.0022604354297994,0.172938350680544
0.0,0.283333088137455,0.8330562021948791,0.220762030821594,0.166943797805121,0.37450093159435704,0.0214204767474814,0.781610255296083,0.175717406040521,0.174692707940578,0.934229831763818,0.33596578213233297,0.30352815151814694,0.804583581070712,0.33596578213233297,0.631134505006781,0.8093491590813691,0.0269494625402677,0.17087354093801402,0.00232711632833122,0.17087354093801402
1.0,0.285297668181567,0.818121353206155,0.22615108253758198,0.181878646793845,0.38346459158590207,0.0193499631314762,0.7817027467578159,0.176169315357385,0.17446648065756698,0.938769319377381,0.335464773940372,0.30344234840463,0.8061954433049909,0.335464773940372,0.631659840276161,0.8094470674870141,0.0274957420922279,0.194007837849227,0.00238254039265342,0.194007837849227
1.0,0.28269321919324203,0.8388003748828492,0.18634773565283203,0.161199625117151,0.37787390708213003,0.0223140672098785,0.780792147966128,0.150410484296151,0.15059950229997698,0.842346725909992,0.33330006724171696,0.30338917464414095,0.7147744787193059,0.33330006724171696,0.630337255654032,0.808720826680249,0.0267111214454595,0.14360962454173903,0.00196580724937322,0.14360962454173903
0.0,0.27726972354634305,0.919369954953593,0.22293656046137802,0.0806300450464068,0.37250577633235904,0.0476300518091386,0.781689413390799,0.179182044136477,0.178063494457432,0.9356769787130809,0.32775219423230106,0.303812389437854,0.8091476190321121,0.32775219423230106,0.6311053958164959,0.80943912544879,0.026935673272426002,0.200623656820193,0.00270187674849996,0.200623656820193
0.0,0.278637901062564,0.891253741270369,0.23759099933818698,0.10874625872963099,0.374309691936397,0.0346978910523653,0.7817570626845091,0.188446185132184,0.18748963124952897,0.9419314835347359,0.32905669221187106,0.30350011444443503,0.825832648225917,0.32905669221187106,0.630834166655251,0.809455400117282,0.0268508362926736,0.18296742657283702,0.00241231953606113,0.18296742657283702
1.0,0.286441250221917,0.8108957886144449,0.20459487567363102,0.189104211385555,0.38624595433062797,0.018463263843228,0.7811800787707249,0.166227310386383,0.165251489329613,0.898281040011788,0.338595536164233,0.303345668840104,0.7867855304291109,0.338595536164233,0.525126368131943,0.809139280956503,0.025457824000752007,0.15132105684547598,0.0021523869830717,0.15132105684547598
1.0,0.288367269989372,0.8005865102639301,0.19239860073744897,0.19941348973607,0.38968714981334607,0.0173048323508999,0.7814110968982099,0.152895985538902,0.151866375084835,0.9255273905536109,0.336977272424559,0.303490446487982,0.7678185772294951,0.336977272424559,0.630017739483021,0.809164539242001,0.0266288495797285,0.161729383506805,0.00183662173664075,0.161729383506805
1.0,0.287065892214764,0.8073283550503371,0.20194762219911103,0.192671644949663,0.37950671351851895,0.0180480855968437,0.7814548864825199,0.15703848761015302,0.156247643465802,0.9174956758966121,0.33849313938847997,0.303257448737474,0.76359137755962,0.33849313938847997,0.630008835495404,0.809144098258376,0.0265964340504829,0.15604062197126098,0.0020695177022915,0.15604062197126098
