Bankrupt?,Liability to Equity,Net worth/Assets,Persistent EPS in the Last Four Seasons,Debt ratio %,Borrowing dependency,Equity to Liability,Continuous interest rate (after tax),Per Share Net profit before tax (Yuan ¥),Net profit before tax/Paid-in capital,Retained Earnings to Total Assets,Current Liabilities/Equity,Non-industry income and expenditure/revenue,Net Income to Total Assets,Current Liability to Equity,Interest Expense Ratio,After-tax net Interest Rate,Degree of Financial Leverage (DFL),Net Value Per Share (B),Total income/Total expense,Net Value Per Share (A)
1,0.29020189277926,0.7924237385494449,0.16914058806845003,0.207576261450555,0.39028435435925796,0.0164687409123162,0.780984850207341,0.13873616027717098,0.13775733353442401,0.903224771166726,0.339077006789355,0.302646433889668,0.7168453432178271,0.339077006789355,0.629951302036958,0.8088093608768431,0.0266006307607414,0.147949938898487,0.00202161301202566,0.147949938898487
1,0.283845979801729,0.828823653898479,0.2089439349532,0.171176346101521,0.37676001995155295,0.020794306334635,0.7815059743308821,0.16991790314076996,0.168961616770983,0.9310652175774871,0.329740147869877,0.30355643029077095,0.7952971360430351,0.329740147869877,0.6351724633909119,0.8093007256679391,0.26457681983737497,0.182251064009102,0.00222560834310179,0.182251064009102
1,0.290188532942043,0.792484203525108,0.18058050486905605,0.20751579647489202,0.379092920106557,0.0164741143272785,0.780283936155909,0.142803344128945,0.14803559309252698,0.90990336247412,0.33477685131984697,0.302035177342951,0.774669696989803,0.33477685131984697,0.629631443404885,0.808387521469543,0.0265547199199004,0.177910749652353,0.00206007064952466,0.177910749652353
1,0.281721192981814,0.848535235964567,0.19372222747470896,0.151464764035432,0.37974268759939395,0.0239823322073886,0.781240991205311,0.14860284702869597,0.14756051579820498,0.906902158837211,0.33150897867185997,0.303349536022685,0.739554525158061,0.33150897867185997,0.63022835303626,0.8089655976943609,0.0266966344214761,0.154186507100417,0.0018313585555101602,0.154186507100417
1,0.27851378988041803,0.893490945369894,0.21253663609719198,0.10650905463010499,0.37502544270303295,0.0354902008836198,0.7815500446176569,0.16841153875122397,0.167460975793681,0.91385019745186,0.33072631939890995,0.303474977757658,0.79501587263578,0.33072631939890995,0.636054985548143,0.809303720206941,0.0247518480523254,0.16750242299102402,0.00222393003478029,0.16750242299102402
1,0.285087100359518,0.8195725126220641,0.174435095017491,0.180427487377936,0.38144818747302,0.0195344778286463,0.7810690609464,0.13881147849664802,0.137825201719327,0.9030412671138449,0.335534372009755,0.303115813175443,0.7104204951009481,0.335534372009755,0.630183833098177,0.8087705620671591,0.026675365750547,0.15557709325355,0.00186560861496925,0.15557709325355
0,0.29250412419641697,0.7838981769809841,0.161482461945731,0.216101823019016,0.384998982291879,0.0156630746538442,0.7811800787707249,0.128944791745123,0.127939069451776,0.911441407767521,0.33739201322250606,0.302814414633032,0.7366190976839391,0.33739201322250606,0.629987945370611,0.808960389800444,0.0266222980418273,0.158821794277527,0.00212073567022402,0.158821794277527
0,0.278607305606177,0.8917979260513349,0.22520563486810996,0.108202073948665,0.3742191047299939,0.0348885561799154,0.781621483394625,0.180462453867591,0.179518889978131,0.9354493092456322,0.329803725937385,0.303544587044117,0.815350392476567,0.329803725937385,0.6313790222051751,0.8093615278294229,0.0270305165537491,0.17698369221693103,0.00235999923619977,0.17698369221693103
0,0.27642251408307106,0.941409438582701,0.21839841164791501,0.05859056141729901,0.37025339813860103,0.0658264974662765,0.781598185090152,0.173156586578293,0.17215896237086198,0.9352002092879941,0.32809275588075204,0.303583500568838,0.8036472897921321,0.32809275588075204,0.6309149874659251,0.809338092306795,0.0268906304546816,0.18418945682862098,0.0022739602931646802,0.18418945682862098
0,0.279387518743906,0.878707258820328,0.21783114304623197,0.121292741179672,0.374508760118367,0.0308008650901007,0.7815741850295199,0.17662122467424898,0.175657944348088,0.938289896761562,0.330409487644987,0.303482953821731,0.804194656500343,0.330409487644987,0.6321882576951,0.809320385467476,0.0272430149466587,0.177447220934642,0.00226919628305072,0.177447220934642
