Bankrupt?,Cash/Current Liability,Net Income to Stockholder's Equity,Net Income to Total Assets,Non-industry income and expenditure/revenue,Retained Earnings to Total Assets,Realized Sales Gross Profit Growth Rate,ROA(A) before interest and % after tax,Long-term fund suitability ratio (A),Total expense/Assets,Working capitcal Turnover Rate,Interest Expense Ratio,Cash Flow to Equity,Net Worth Turnover Rate (times),Contingent liabilities/Net worth,Liability-Assets Flag,Borrowing dependency,Pre-tax net Interest Rate,Interest Coverage Ratio (Interest expense to EBIT),Total Asset Turnover,Inventory and accounts receivable/Net value
1,0.00014733602476056,0.82789021403512,0.7168453432178271,0.302646433889668,0.903224771166726,0.0221022783580128,0.424389446140427,0.00502445472861451,0.06485570769083099,0.593830503987655,0.629951302036958,0.31290494811932595,0.0329032258064516,0.00647850248610705,0,0.39028435435925796,0.796887145860514,0.564050112276341,0.0869565217391304,0.39803569825688706
1,0.00138391008146992,0.839969268005573,0.7952971360430351,0.30355643029077095,0.9310652175774871,0.0220801698690499,0.53821412996075,0.0050588817540408205,0.0255158599950638,0.59391554785427,0.6351724633909119,0.31416313518466604,0.0254838709677419,0.0058350394852296,0,0.37676001995155295,0.797380191277827,0.570174946412453,0.0644677661169415,0.39772488253979293
1,5340000000.0,0.8367743085501741,0.774669696989803,0.302035177342951,0.90990336247412,0.0227600967722855,0.499018752725687,0.00509989941357539,0.0213874282332057,0.5945018512960419,0.629631443404885,0.31451542627366996,0.0133870967741935,0.00656198206103149,0,0.379092920106557,0.7964033692543571,0.563706076496047,0.0149925037481259,0.40658045103111795
1,0.00101064643157612,0.834697106753341,0.739554525158061,0.303349536022685,0.906902158837211,0.0220460668531945,0.451264718709115,0.00504692406346464,0.0241610701740241,0.593888792576566,0.63022835303626,0.302382254833178,0.0280645161290323,0.00536584771375646,0,0.37974268759939395,0.7969669683088281,0.564663420271241,0.0899550224887556,0.397924501254651
1,0.000680463559654079,0.839972745788203,0.79501587263578,0.303474977757658,0.91385019745186,0.0220959097225217,0.5384321849105971,0.0053033191962841295,0.0263852456518637,0.59391526090563,0.636054985548143,0.31156716052411104,0.0401612903225807,0.00662352539728966,0,0.37502544270303295,0.797366080550396,0.575616645216918,0.175412293853073,0.4000787757076079
1,0.000100856341323415,0.829938957445841,0.7104204951009481,0.303115813175443,0.9030412671138449,0.0215649425169015,0.4151766245093761,0.00491319258909057,0.0400936219797891,0.593845782013285,0.630183833098177,0.31326847182286893,0.0296774193548387,0.00574912255045335,0,0.38144818747302,0.796903193354456,0.56453833936354,0.09595202398800601,0.40041906532890903
0,0.00105031178699612,0.829979763773696,0.7366190976839391,0.302814414633032,0.911441407767521,0.0221122500924914,0.44570431748800704,0.005005044337865271,0.0928023065929925,0.593893372221075,0.629987945370611,0.310296437752667,0.0408064516129032,0.00804389685093107,0,0.384998982291879,0.797011928959958,0.564200119780965,0.10044977511244399,0.40057447318745504
0,0.0008881219853254429,0.8414594397264821,0.815350392476567,0.303544587044117,0.9354493092456322,0.0221143202941026,0.570922372437854,0.00564016455895685,0.0254821527696264,0.593937091602204,0.6313790222051751,0.314363648145748,0.0462903225806452,0.00638344545188652,0,0.3742191047299939,0.797448808148475,0.566088941755739,0.218890554722639,0.400882609458712
0,0.0131902147956569,0.8404866330953491,0.8036472897921321,0.303583500568838,0.9352002092879941,0.0221284324318037,0.545137374618404,0.00541794617431905,0.0298840610686264,0.5939588477051779,0.6309149874659251,0.315376063533981,0.0295161290322581,0.00536584771375646,0,0.37025339813860103,0.797413531329896,0.565591901310376,0.154422788605697,0.39746229684776596
0,0.0004908833959261411,0.840688177069564,0.804194656500343,0.303482953821731,0.938289896761562,0.0221183026666678,0.550915830789359,0.00547525966333651,0.0358910619841396,0.593935897992759,0.6321882576951,0.314645153463564,0.0766129032258065,0.00581858730622989,0,0.374508760118367,0.7974035708164151,0.5666676223592071,0.34782608695652195,0.40636341591832
